Content;Url;Date;Consumer Sentiment Classifier;Automatic Classifier
I have had a dog tag that I purchased 8 years ago and is still in perfect condition. These tags are legible, durable, they don’t fade and I love all the designs.;https://www.trustpilot.com/reviews/62cfbf174c35e69ec50e9b49;2022-07-14T09:00:39.0000000Z;Positive;Quality and Durability
I have had excellent service from this company. The 5 tags I have purchased are beautiful and accurately printed.;https://www.trustpilot.com/reviews/625f1e5c0c4813f76beed7e2;2022-04-19T22:41:00.3600000Z;Positive;Customer Service
I have now made 3 purchases from Dog Tag Art. The first two purchases were made over 4-yrs ago and the tags are still in great condition, as well as the rubber gasket that prevents the clanging noise. I just purchased my third for our newest furbaby and it is just as great as the others.Ordering was simple, email confirmation and status updates were sent, product was received timely.;https://www.trustpilot.com/reviews/62710427166eb7ecbf3b68fc;2022-05-03T12:29:59.0000000Z;Positive;Quality and Durability
"I have ordered 6 pet tags from this company and they are the best quality tags that will last your pet's lifetime. They have cute designs and something unique for each of my pets' personalities. My pets have hilarious names and I am pretty sure the staff is always cracking up when they do up my tags. I know for sure on the last one they did because they hand wrote it on the receipt. ""Potatoe Potato"" is my hairless cat's name and they even had a ""cute potatoe design"" so it could not have been more symbiotic.";https://www.trustpilot.com/reviews/631f7e516a3e1ed2c3d0f2ce;2022-09-12T20:45:37.0000000Z;Positive;Tag Design and Artwork
I have ordered several pet tags over the past few years both for myself and as gifts. Dog Tag Art has all the right stuff. A fun and user friendly order site, lots of options, high quality production and a quick turn around after ordering. Dog Tag Art has a great vibe!;https://www.trustpilot.com/reviews/63b451164d0773066a2caef7;2023-01-03T18:00:22.0000000Z;Positive;Quality and Durability
I have ordered several tags. Some Lupine designs and some pf my own. I love how well made they are and how easy it is to put together your own design.;https://www.trustpilot.com/reviews/635c5779b84cc27618dc3ff8;2022-10-29T00:28:09.0000000Z;Positive;Customization and Personalization
I have ordered the st Francis dog tags for my dogs from Dog tag art for the last 10 years.  Great quality, fast shipping.  More variety than any pet store.;https://www.trustpilot.com/reviews/621fcb42445f5107dca6789b;2022-03-02T19:53:38.0000000Z;Positive;Quality and Durability
I have ordered these tags for years. I even buy the rubber ring to go around the tags. After a couple of months the lettering starts to wear and peel away. I have two dogs right now that need new tags because you can’t read their info anymore. And your prices went up to almost 20 dollars for a tag??!!! I have bought them as low as 10-12 dollars at Petsmart and petco. Just ordered some new ones for the rescues here one last time to see if they last. Won’t be buying again.;https://www.trustpilot.com/reviews/61c0ff5e9f60695a25fb60c5;2021-12-20T22:10:38.0000000Z;Negative;Tag Design and Artwork
I have purchased 13 pairs of these AMAZING tags from DOG TAG ART for my two PBGVs, Ivy and Iris since May 2023! Of course they are all an EXACT match to the collars and leashes I purchased from Lupine Pet (wonderful vendor also). I purchased a pair of PBGV tags just to enjoy for myself! These tags are truly worth every penny of their price. If you visit their website, dogtagart.com, you will find all the information you need. Please purchase for your own dog(s), I PROMISE, you will not be disappointed!;https://www.trustpilot.com/reviews/64f6503b6331c819d9d6d874;2023-09-04T23:46:35.0000000Z;Positive;Tag Design and Artwork
I have purchased 3 dog tags from Dog Tag Art for my 3 dogs and I love, love love them!!! Great quality, super fast shipping, just an awesome Company to purchase dog tags from! And they have the best selection of any place I have seen so far.;https://www.trustpilot.com/reviews/62195ee2ba48cd57a2a32fa1;2022-02-25T22:57:38.0000000Z;Positive;Customer Service
I have purchased from Dog Tag Art for years. They are the best dog tags, created from sturdy enameled metal, great colors and distinctive designs. The printing is crisp and clear. If a tag develops a problem, the company will replace it. Great product!;https://www.trustpilot.com/reviews/61b00a180b7cbbcbfe04a1cc;2021-12-08T01:27:52.0000000Z;Positive;Tag Design and Artwork
I have purchased quite a few tags from Dog Tag Art. There is always a great selection of tags for my adventure dogs. Shipping is fast, even during the holidays. I’ll be back soon to buy more tags!;https://www.trustpilot.com/reviews/61c3b3860430e828ebdc10da;2021-12-22T23:23:50.0000000Z;Positive;Variety of Designs
"I have used Dog Tag Art for many, many years, and have always been impressed with their high-quality work. I changed my opinion when I received my last tags in the mail. True, they are still high quality in the toughness of the material, but I was appalled at the lack of ability to read ""Do Not Separate From Handler"" on my dog's service dog tag. I know this because I had the same tag on my last service dog 10 years ago and it looks better than the one I just received. I'm not sure why this company chose to alter the perfect lettering they had previously. But hopefully they will review this issue and rectify this issue. I did have photos showing the old tag and the new to help the shopper, but this review does not have the capability to post photos. I have contacted the company and they will not respond. Hope this helps everyone! UPDATE: The company did contact me after this review and I received excellent customer service, they replaced the tags and explained to me that there was a change the machines used and font styles. The lady I spoke to on the phone was professional, friendly and represented the company fabulously. I did receive the replacement tags, were they as good as the originals? Not even close-they were a bit better but not that much. I did replace them and called it good. I would order from them again, absolutely!";https://www.trustpilot.com/reviews/61a7b1922b49257fe2913612;2022-01-13T01:43:17.0000000Z;Negative;Tag Design and Artwork
I have used Dog Tag Art tags 3 times now and could not be happier. Quality workmanship is outstanding and the tags can take rough dog play without damage to the ceramics. I will be using this company for as long as I have dogs.;https://www.trustpilot.com/reviews/62badca8853b02c06c90dea2;2022-06-28T12:49:12.0000000Z;Positive;Quality and Durability
I highly recommend Dog Tag Art. They have so many selections and have great products that are made very well. The turn around time is fast and it’s packed great for shipping. I am a repeat customer.;https://www.trustpilot.com/reviews/61c3bb700430e828ebdc150a;2021-12-22T23:57:36.0000000Z;Positive;Quality and Durability
I just adopted a mutt and she needed an ID in case she wandered off.  The tag was so nice and the printing is very clear.  Thanks for the choices you give.;https://www.trustpilot.com/reviews/61c0d7aa0430e828ebd962b0;2021-12-20T19:21:14.0000000Z;Positive;Tag Design and Artwork
I like my tag.  I am disappointed that it did not come with the extra protection around it that the old ones did.;https://www.trustpilot.com/reviews/627576a7166eb7ecbf3f5c85;2022-05-06T21:27:35.0000000Z;Negative;Silencer and Accessories
I love dogs &cats only that it cause so much to have them where I live I'm not able to bye one & keep there meds.& Dr. Bills & pay my rent&cable & all my others bills, but sure would love to have a pet of my own my dog die before that I move out here, all that I do is think about her all the time for I miss her so much, maybe I will get another one day with the help off the Lord I just keep on praying & hoping for the best,;https://www.trustpilot.com/reviews/643baa2234f3d7b4b85c8bc3;2023-04-16T09:56:19.0000000Z;Negative;None
I love DogTagArt!! My puppies look fantastic in their new tags and they fit their personalities perfectly!! I would highly recommend them but only if you love your pup and want them to look stylish!!  I also love the rubberized ring that comes with each tag to keep the tag from getting beat up banging against their license.;https://www.trustpilot.com/reviews/61c29efe0430e828ebdae631;2021-12-22T03:43:58.0000000Z;Positive;Tag Design and Artwork
I love it! I got the canine good citizen tag for my dog when he passed his test! I love the tag and the personalization I will be getting him the trick dog one soon!;https://www.trustpilot.com/reviews/6226969f361b35c36d603324;2022-03-07T23:34:55.0000000Z;Positive;Tag Design and Artwork
I love my dog tag! I was able to put both my name and my boyfriends and both of our numbers. It is not too big. Very clear text. And the front side is so cool with the art! His name is Goose from top gun and that’s exactly what this tag exemplifies! Bravo!;https://www.trustpilot.com/reviews/61c232e29f60695a25fc7b69;2021-12-21T20:02:42.0000000Z;Positive;Tag Design and Artwork
I love my dog tags ! I am glad I can customize it to what I want and pretty much have it match my dog perfectly. It is also durable and should last a really long time.;https://www.trustpilot.com/reviews/61c3b7849f60695a25fde2be;2021-12-22T23:40:52.0000000Z;Positive;Customization and Personalization
I love the penguin tag. It is so cute;https://www.trustpilot.com/reviews/6226612f445f5107dcaaec7a;2022-03-07T19:46:55.0000000Z;Positive;Tag Design and Artwork
I love the tag I got for my pup and the service was very quick!;https://www.trustpilot.com/reviews/61dc648de1196e51d75f6206;2022-01-10T16:53:33.0000000Z;Positive;Customer Service
I love the way the tags look! I received them really fast! I am extremely happy that they are made in the USA. I also love that the company supports keeping animals and their owners together and finding forever homes for pets who need them! ❤️;https://www.trustpilot.com/reviews/642baf43734f97e68f9726e2;2023-04-04T07:01:55.0000000Z;Positive;Tag Design and Artwork
I love these tags! There are a lot of original designs, variety of letter style options, and fair prices. Glow in the dark tag covers are also available.;https://www.trustpilot.com/reviews/647e6c41c42344628670e415;2023-06-06T01:14:09.0000000Z;Positive;Variety of Designs
I love this company!  Their customer service is top notch.  I have written with several questions, and I always receive a timely response.  They unfailingly work with me to help take care of any issue I may have. Their customer service, along with their high quality products are the reasons why I will continue to purchase from them.;https://www.trustpilot.com/reviews/6256ed74c7628b203bab9bdc;2022-04-13T15:34:12.0000000Z;Positive;Customer Service
I love this company, and their staff! Our organization needed tags for our Certified therapy dog teams, and they delivered.I also have personally gotten them for gifts, and everyone loves them. I'm so glad we found Dog Tag Art!;https://www.trustpilot.com/reviews/62dadb534c35e69ec516f11e;2022-07-22T19:16:03.0000000Z;Positive;Customer Service
I love this tag. And the glow in the dark tag protector is super. I will always buy tags from you, you offer a great variety.;https://www.trustpilot.com/reviews/629543be35343b8f5b5c8b7a;2022-05-31T00:22:54.0000000Z;Positive;Variety of Designs
I love your products.  Always a quality product and processed in lightening speed.;https://www.trustpilot.com/reviews/6196c0b6f23cf7242d9caa98;2021-11-18T21:08:06.0000000Z;Positive;Quality and Durability
I loved the first tag I bought so much I’ve bought another one.;https://www.trustpilot.com/reviews/621fab51445f5107dca65369;2022-03-02T17:37:21.0000000Z;Positive;Repeat Purchase
I never received my order.  I contacted customer service and no one responded.  :(;https://www.trustpilot.com/reviews/623c9a3cf144199fc9c9277b;2022-03-24T16:20:12.0000000Z;Negative;Customer Service
"I order a personalized ID tag with a new photo of our girl Kiki every year. They do an awesome job with ""printing"" her photo! This year I also ordered a Lupine collar for her . It should arrive in a few days . Customer Services notified me it has shipped and we can't wait to put her latest tag on it!";https://www.trustpilot.com/reviews/655a8f830c9192bd33978884;2023-11-20T00:43:15.0000000Z;Positive;Customization and Personalization
"I order a personalized ID tag with a new photo of our girl Kiki every year. They do an awesome job with ""printing"" her photo! This year I also ordered a Lupine collar for her . It should arrive in a few days . Customer Services notified me it has shipped and we can't wait to put her latest tag on it!";https://www.trustpilot.com/reviews/6543aef4360a2081c7b5f544;2023-11-02T16:15:16.0000000Z;Positive;Customization and Personalization
I ordered a tag through Lupine Collar along with a collar. The collar came but no tag. I called lupine and they said it could take up to 2 weeks to arrive. After waiting more than 2 weeks I called Dog Tag Art and was told I should have received it at least a week earlier. They didn’t hesitate to sent a new tag with tracking details. Another tag I ordered directly from them came without hyphens in the phone number. I had auto inserted it but their form left the hyphens out. I called and again they sent a new tag with the phone number corrected. Both times they were a pleasure to work with. And their tags ain’t bad either!;https://www.trustpilot.com/reviews/64c93fadc4234462868e465f;2023-08-01T19:23:57.0000000Z;Negative;Customer Service
I ordered an AKC CGC tag for my dog. The tag and clips arrived on time and reflected the information about my dog that I requested. The information is clear and readable on the tag. I am 100% satisfied with the quality of the product and service.  If I need additional tags, I will not hesitate to order from Dog Tag Art. I highly recommend this company based on quality of product and service;https://www.trustpilot.com/reviews/6262c6277b2618e9fea3151d;2022-04-22T17:13:43.3610000Z;Positive;Quality and Durability
I ordered my fourth custom tag through dog tag art. Placing order was simple and my tag arrived within one week. Great experience, great quality. Highly recommend!;https://www.trustpilot.com/reviews/6411f9161f08d0d08489464a;2023-03-15T18:57:58.0000000Z;Positive;Quality and Durability
"I originally got my cat a ""DTA"" tag from ""Lupine"" . I like the fact the tags are easy to read and the designs are scratch resistant. However they are drastically heavier than aluminum so I can only have her collar on for so long.";https://www.trustpilot.com/reviews/6279460d166eb7ecbf41aefa;2022-05-09T18:49:17.0000000Z;Negative;Tag Design and Artwork
I purchased small tags.  The color is not vivid enough to see the pictures on this size. Also, I've only had them for a few weeks and the letters/numbers are already rubbing off.  With a few minor improvements, this could be a good tag.;https://www.trustpilot.com/reviews/642af115734f97e68f96cf63;2023-04-03T17:30:29.0000000Z;Negative;Tag Design and Artwork
I purchased the Best Friends tags, I thought they are very original, adorable and sized right for my pups (Papillons) and the for my sister's Beagles!! They are getting their tags as a Christmas gift, and I am sure they will love the idea!!;https://www.trustpilot.com/reviews/61c242389f60695a25fc8bc1;2021-12-21T21:08:08.0000000Z;Positive;Tag Design and Artwork
I realized after printing off 18 or so that you can get the photo of your dog on the tag...this is even better for us.  I am the founder of GreenDog Foundation and we rescue a lot of older/senior dogs who live out their lives with us.  They are laid to rest, in whole, on our property and we buy a tree to plant over them for their memorial.  On the tree, we hang their dog tag...I love to see them flourishing over the rainbow and I always know where they are now :);https://www.trustpilot.com/reviews/64f7a9514c99dca084723c3b;2023-09-06T00:18:57.0000000Z;Positive;Customization and Personalization
I received a call from a customer after not receiving my order from USPS and it was great! I immediately received a new set of labels and it arrived within days. Tags well with bright colors and clear text. I will see them again at heartbeat! I love all the designs but I go with the design superhero!;https://www.trustpilot.com/reviews/61a90dca0b7cbbcbfefe50ba;2021-12-02T18:20:45.0000000Z;Positive;Shipping and Delivery
I received a name tag from a silent auction event at HSBC. Loved the variety of selections available.  It was ordered and received within 2 weeks. And it's a well made product.  Already referred 3 other pet friends to the site.  The quality is way better and about the same price as the tags you get in Petco and petsupermarket.;https://www.trustpilot.com/reviews/642c4c6b734f97e68f97986a;2023-04-04T18:12:27.0000000Z;Positive;Variety of Designs
"I received the ""all-star licker"" tag on time for a Christmas gift.  Simple and easy ordering and excellent communication on the progress of it making its way to my door.  Everyone loved the quality and the glow-in-the-dark silencer.";https://www.trustpilot.com/reviews/63b4629e2338b6d417aeb969;2023-01-03T19:15:10.0000000Z;Positive;Shipping and Delivery
I recently had the pleasure of ordering custom dog tags from Dog Tag Art, and I couldn't be happier with my experience! From start to finish, this company exceeded my expectations in every way.First and foremost, the ordering process was a breeze. Their website is user-friendly and offers a wide variety of design options to choose from. I loved being able to customize the tags with my pet's name and contact information. Plus, they had an impressive range of designs to suit every style and personality.What really set Dog Tag Art apart, though, was their commitment to quality. The tags arrived promptly and were crafted with excellent attention to detail. The materials used felt durable and long-lasting, assuring me that my furry friend would be safe and stylish.What truly stood out was their customer service. I had a minor issue with my order, and their support team was incredibly responsive and helpful. They went above and beyond to resolve the problem promptly, leaving me with a smile on my face and a positive impression of their commitment to customer satisfaction.;https://www.trustpilot.com/reviews/6571b755039f68d040853711;2023-12-07T14:15:17.0000000Z;Positive;Variety of Designs
I recently purchased an ID Tag for my two German Shepherds. The tag has an awesome design and is filled with vibrant colors. I really appreciated your work. The overall experience was good I recommend it for those who need an ID tag for their pet.;https://www.trustpilot.com/reviews/65268e6830dd18d5e4080244;2023-10-11T14:00:40.0000000Z;Positive;Tag Design and Artwork
I wait all year for the 2 for one tag sale. These high value tags are worth it  and if my pocket book afforded every collar and harness would sport one of the fun long lasting tags.with 2 dogs of my own and a host of foster dogs during any one year tags are of critical importance .I have used this companies tags for over 10 years  the lifespan of a host of dogs. And have always been happy with  peoples response to the art and the long endurance of the data content;https://www.trustpilot.com/reviews/61c3a8cd0430e828ebdc08ff;2021-12-22T22:38:05.0000000Z;Positive;Quality and Durability
I wanted a tag without my dog’s name on the front and Dog Tag Art fit the bill.  There are tons of designs to choose from.  I love my dog’s new tag.  It’s a nice weight, not flimsy and the colors look just like they did on my screen.  The information on the back is printed in clear, bold lettering.  Very easy to read.  The tag also shipped quickly.  I have nothing negative to say about Dog Tag Art.  I wouldn’t hesitate to order again.;https://www.trustpilot.com/reviews/63d05c4e9b64b1bdaf420af0;2023-01-25T00:31:42.0000000Z;Positive;Variety of Designs
I was highly impressed with the quality and the quick turn around time. Always love doing business for companies who do well for their clients. Thank you so much!!!;https://www.trustpilot.com/reviews/62544fcdc7628b203ba95e80;2022-04-11T15:57:01.0000000Z;Positive;Quality and Durability
I was impressed with the heavy gauge material used for the tag and the quality of the printing on the front and back.  I'm confident this dog tag will last for years.;https://www.trustpilot.com/reviews/628c1be3045d025d3a9cacba;2022-05-24T01:42:28.0000000Z;Positive;Quality and Durability
I was looking for a good place to make a customized tag with ZIMBA name.. I am so happy because I found the best place to make it.. The outcome is just looking like wow.. Highly satisfied and highly recommended.. 💯;https://www.trustpilot.com/reviews/656e8d05a3697a4c08372f65;2023-12-05T04:37:57.0000000Z;Positive;Customization and Personalization
I was looking for a medical tag. My dog is on insulin, blind and deaf and the tag I found on your sight was exactly  what I wanted. The tag turned out perfect and I was even able to put his microchip# on the tag.;https://www.trustpilot.com/reviews/6410e485b23781c8422ef9f9;2023-03-14T23:17:57.0000000Z;Positive;Medical Alert Tags
"I was looking for tags for my two cats,  who happen to be brothers. Dog Tag Art offered a great variety of tags from solid colors to those of artful designs and personalities. I found some that described my cats perfectly, ""Best Friends."" The tags look great and the quality is spot on AND they are made in the USA. It doesn't get any better.";https://www.trustpilot.com/reviews/64518fc6734f97e68fa9d578;2023-05-03T00:33:42.0000000Z;Positive;Variety of Designs
I was very pleased. All liked it!;https://www.trustpilot.com/reviews/6256dd7f2b3c3c43cfd1b1e8;2022-04-13T14:26:07.0000000Z;Positive;Customer Service
I wrote a review on 12-9-22.   Dog tag art responded on 12-28-2022, but I can't find how to comment on their response.  All I can say is that is a whole bunch of excuses from them.  Still not impressed.  The metal tags have held strong for 10 years.  No need for the cheap plastic with fuzy  print.;https://www.trustpilot.com/reviews/63be56504d0773066a343363;2023-01-11T08:25:20.0000000Z;Negative;Customer Service
I’ve purchased tags through Dog Tag Art for years for our dogs. I like to match them to their collars, otherwise I’d never have to change them because they last. I like that they’re lightweight and come in so many designs.;https://www.trustpilot.com/reviews/631f923c7f7a8621ee59d477;2022-09-12T22:10:36.0000000Z;Positive;Tag Design and Artwork
"If you're in search of top-tier dog tags, look no further than this company. I recently placed an order and was blown away by the quality and beauty of the tag I received. Crafted with precision and care, it's evident that the makers take pride in their work. I opted for the ""SHINE"" design, complete with a vibrant sun motif in blue and yellow - a perfect match for my pup's name, SUNSHINE. I'm eagerly awaiting the day when he's big enough to sport it! Overall, I couldn't be happier with my experience working with this company. They're truly a cut above the rest.";https://www.trustpilot.com/reviews/64282d7aae692dc24f807c1b;2023-04-01T15:11:22.0000000Z;Positive;Tag Design and Artwork
I'm thankful for the speedy service! I'll definitely keep buying from Dog Tag Art for my future pets and suggest DTA to anyone in need of an ID tag for their pet.;https://www.trustpilot.com/reviews/6523fe5880c3da82457184db;2023-10-09T15:21:28.0000000Z;Positive;Repeat Purchase
Improved construction of the tags, much better made than previous design. Looks good on my rescue girl!;https://www.trustpilot.com/reviews/620293bebc5a51af69bbf308;2022-02-08T16:01:02.0000000Z;Positive;Tag Design and Artwork
India's cultural heritage is deeply intertwined with its rich tradition of craftsmanship and artisanal skills. The country has been home to a diverse array of artisans who have honed their crafts over generations, creating exquisite handcrafted products that are admired worldwide.;https://www.trustpilot.com/reviews/6502a19a5f3f2879be7302fd;2023-09-14T08:00:58.0000000Z;Positive;Variety of Designs
It was easy to search for and purchase the item I wanted, and when shipping was going to be delayed, the seller contacted me right away to let me know, and apologize. Communication was excellent, and the product was too!;https://www.trustpilot.com/reviews/63ea9e3e9b64b1bdaf565ce9;2023-02-13T22:31:58.0000000Z;Positive;Customer Service
It’s always a pleasure when I order new tags for my babies! Outstanding customer service, quick shipping, everything I’ve ordered has been perfect! These tags are fairly indestructible as well, two of my cats have been wearing them for at least 12 years and they still look brand new! I’ve put them through the washing machine and they’re still perfect! Even though they’re chipped, I love the link on the back that will help get them home if they get lost, all of their pertinent info is quickly available to whoever finds them. There is usually a Groupon available, but well worth every penny at full price for the peace of mind knowing my furry babies are safe!;https://www.trustpilot.com/reviews/656f32ac1c1df1aba8c8895b;2023-12-05T16:24:44.0000000Z;Positive;Customer Service
It’s so nice! I was looking for a dog tag with a turbo on it as my dogs name is Turbo this was so perfect! The quality of the dog tag is amazing and it arrived at my house so quickly.;https://www.trustpilot.com/reviews/61dc4c19e1196e51d75f3f61;2022-01-10T15:09:13.0000000Z;Positive;Tag Design and Artwork
Items are as described.  They look great !! Definitely would order again .... we may have to since we are considering a different name for our pup....lol;https://www.trustpilot.com/reviews/625ed24e7b2618e9fe9fd8cb;2022-04-19T17:16:30.7470000Z;Positive;Repeat Purchase
I've always wanted a way to customize my dogs name tag and now I found the best place to do so any image can be uploaded to the name tag and bang! You got your personal touch for your dogs colors,emotions and just straight looks.The quality is as it durable, everlasting, and can be cleaned with a wipe as easy as that my first dog tag art tag was was already made but was still cool and the print still 100% visible and it's been 2 years the metal as not Warped its still its perfect sold round self. So 100% recommend and will continue buying from them.;https://www.trustpilot.com/reviews/624c7407c7628b203ba372ef;2022-04-05T16:53:27.0000000Z;Positive;Customization and Personalization
I've gotten tags from here several times, and I've always been thrilled with their product.  The latest order, I managed to fat-finger a wrong number on my address, and the package was returned to the company.  However, they took it upon themselves to look up my previous shipping addresses, caught the mistake and then sent the tags again with no additional fees for the second ship.They emailed me, let me know, and like lightning the tags showed up.  As always, fantastic metal, and those glow in the dark tag silencer silicone things are a MUST HAVE.;https://www.trustpilot.com/reviews/654988083c8422b3fcced5fe;2023-11-07T02:42:48.0000000Z;Positive;Customer Service
Just received our 4th custom dog tag for a new puppy joining the family.   First 3 orders for previous pets were perfect, this one came with the coating cracked on one edge with the steel core showing through.   Not a huge issue but for the cost of a large tag I would have expected it to be caught before shipping.Edit: Dog Tag Art reached out quickly and made the situation right.  Five Stars for the customer service.;https://www.trustpilot.com/reviews/63584aff8056669a30ab4591;2022-10-26T18:00:34.0000000Z;Negative;Customer Service
Lettering is poorly spaced and difficult to read.  Letters are smudged.  Love the Berner picture on the face of the tag.;https://www.trustpilot.com/reviews/626964f80c4813f76bf65681;2022-04-27T17:44:56.3880000Z;Positive;Tag Design and Artwork
Looks amazing! Exactly what I wanted!;https://www.trustpilot.com/reviews/61cb85169f60695a25032b8c;2021-12-28T21:43:50.0000000Z;Positive;Customization and Personalization
Love all the choices and the ability to customize everything including fonts and info put on tag.  So many tags to choose from.  Quick shipping too.  Great company.;https://www.trustpilot.com/reviews/630757c16a3e1ed2c3c0433a;2022-08-25T13:06:41.0000000Z;Positive;Customization and Personalization
Love my CGC tags.;https://www.trustpilot.com/reviews/62056106bc5a51af69be8cfc;2022-02-10T19:01:26.0000000Z;Positive;Tag Design and Artwork
Love my new dog tag for my new dog! Ordering was simple, it came quickly, and it is a solid product. I have been ordering dog tags for years and I noticed they have made changes to improve the thickness and material of the tag. I am a happy customer.;https://www.trustpilot.com/reviews/6205405cbc5a51af69be5fde;2022-02-10T16:42:04.0000000Z;Positive;Tag Design and Artwork
Love my new dog tags, well made and shipping was reasonable for a small business.;https://www.trustpilot.com/reviews/61c0826e9f60695a25faacbd;2021-12-20T13:17:34.0000000Z;Positive;Tag Design and Artwork
Love our dog Tag! Quality work and speedy delivery! Would definitely use again.;https://www.trustpilot.com/reviews/62042aa0441cb9c247342527;2022-02-09T20:57:04.0000000Z;Positive;Shipping and Delivery
Love our tag so much. It’s sturdy, beautifully made and seems like it will last a long time. And best of all, the name and phone numbers are so clear, which is a nice change from every other dog tag I’ve had. I loved the designs so much, that I feel like I’ll have to buy another one!;https://www.trustpilot.com/reviews/619bfbd9bd63dda4826183fd;2021-11-22T20:21:45.0000000Z;Positive;Tag Design and Artwork
Love that I can create my own dog tag.  Even the small tag has enough room on it to add my phone numbers incase my pup gets lost. HIGHLY recommend Dog Tag Art!;https://www.trustpilot.com/reviews/620a80e6bc5a51af69c214d9;2022-02-14T16:18:46.0000000Z;Positive;Customization and Personalization
Love that these are made locally. Tag was just as pictured and great quality.;https://www.trustpilot.com/reviews/632a5a156a3e1ed2c3d82e36;2022-09-21T02:25:57.0000000Z;Positive;Tag Design and Artwork
LOVE THE DESIGNS AND THAT YOU CAN EASILY READ THE INFORMATION IE CONTACT INFO;https://www.trustpilot.com/reviews/6242ea23f144199fc9cd53d7;2022-03-29T11:14:43.0000000Z;Positive;Tag Design and Artwork
Love the dog tag.  The rubber edge is nice to protect the tag, illuminated in the dark, and keeps the tags quiet and not banging together.  Tag very legible.;https://www.trustpilot.com/reviews/64c93d28c4234462868e45ba;2023-08-01T19:13:12.0000000Z;Positive;Silencer and Accessories
Love the dog tag. I would buy again.;https://www.trustpilot.com/reviews/6241e3fa843a1a3bf6c8dbe9;2022-03-28T16:36:10.0000000Z;Positive;Repeat Purchase
Love the idea behind these tags.  So many different ideas.  I especially love the Greyhound (45 mph couch potato) as I have two Greyhounds.  Very sturdy product.;https://www.trustpilot.com/reviews/640635a5c3490ae5dad4188c;2023-03-06T20:49:09.0000000Z;Positive;Tag Design and Artwork
Love the items I have purchased time and again. If I have an issue they bend over backwards to make it right. Love this company!;https://www.trustpilot.com/reviews/6317db737f7a8621ee54a54c;2022-09-07T01:44:51.0000000Z;Positive;Customer Service
Love the little tags! We have a few already :);https://www.trustpilot.com/reviews/62281fa6445f5107dcac2a71;2022-03-09T03:31:50.0000000Z;Positive;Tag Design and Artwork
Love the quality, and the many, many choices available.  Will purchase again just to let the pups have 'options' with their wardrobe. LoL;https://www.trustpilot.com/reviews/6329e6bb7f7a8621ee60add1;2022-09-20T18:13:47.0000000Z;Positive;Variety of Designs
Love the quality, fun options to choose from;https://www.trustpilot.com/reviews/626bf5bd166eb7ecbf38369e;2022-04-29T16:27:09.0000000Z;Positive;Variety of Designs
Love the Sheltie tag I ordered.;https://www.trustpilot.com/reviews/61c3b9d30430e828ebdc144a;2021-12-22T23:50:43.0000000Z;Positive;Tag Design and Artwork
Love the tag!  Good quality and super fast delivery....;https://www.trustpilot.com/reviews/61955008813958f0f143569d;2021-11-17T18:55:04.0000000Z;Positive;Quality and Durability
Love the tag,large,easy to read and sturdy. The tag clip also is working out well. Much easier to use then the circle rings;https://www.trustpilot.com/reviews/6226a8f2361b35c36d60386e;2022-03-08T00:53:06.0000000Z;Positive;Tag Design and Artwork
Love the tag. It's perfect as Ranger earned  his CGC certification last month.;https://www.trustpilot.com/reviews/620ee5babc5a51af69c5fa18;2022-02-18T00:18:34.0000000Z;Positive;Tag Design and Artwork
Love the tremendous variety of beautiful pet tag designs, sizes and font options.  And these can be used to tag different objects besides one's companion animals for owner id purposes.  I have tags attached to my keyrings and laptop sleeve. This company has always gotten my order correct and promptly shipped out. They also offer BOGO sales at various times throughout the year.;https://www.trustpilot.com/reviews/63a1c3662338b6d417a1b6bb;2022-12-20T16:15:02.0000000Z;Positive;N/A
Love their art always get my dogs tags and they customize anything. They are the best. Super fast shipping as well.;https://www.trustpilot.com/reviews/6295562b35343b8f5b5c9177;2022-05-31T01:41:32.0000000Z;Positive;Customization and Personalization
Love these dog tags!  Fun and great quality!Make for great gifts too!;https://www.trustpilot.com/reviews/61ae3efb0b7cbbcbfe02c858;2021-12-06T16:48:59.0000000Z;Positive;Tag Design and Artwork
Love these tags! Very legible and guaranteed the letters won’t wear off. Liked for a little extra money you can create a profile for your dog that has contacts and safe places if your pet if they get lost. Your personal website is placed in the tag.;https://www.trustpilot.com/reviews/63c95a274b01fb3f5486d635;2023-01-19T16:56:39.0000000Z;Positive;Tag Design and Artwork
Love these tags.Durable,easy to read and so much fun.Match tags to my dogs personality;https://www.trustpilot.com/reviews/624306f0f144199fc9cd77b3;2022-03-29T13:17:36.0000000Z;Positive;Tag Design and Artwork
Love these. I got one for each of my dogs. They are so fun and love that I could pick them according to their personality.;https://www.trustpilot.com/reviews/621fda52445f5107dca686de;2022-03-02T20:57:54.0000000Z;Positive;Variety of Designs
LOVE, LOVE, LOVE these dog tags!  They are strong and durable.  Completely customizable.  They are a quick ship too.  I keep coming back to check out the new fun designs.;https://www.trustpilot.com/reviews/624cf45bc7628b203ba3cf64;2022-04-06T02:00:59.0000000Z;Positive;Customization and Personalization
Loved the special you had going on when I bought my tags.  Feeling secure in the knowledge my pets have a much better chance of being returned now that their info is readable.   No more sharpie pens and tape.;https://www.trustpilot.com/reviews/6259b0042b3c3c43cfd3e1cb;2022-04-15T17:48:52.0000000Z;Positive;Customization and Personalization
