Content;Consumer Sentiment Classifier;Automatic Classifier
simplemente facinante la temática,  los proyectos de grado se ven  de muy buena  calidad , es muy fluido al momento de explicar;Positive;Course Quality
Soy una usuaria que no tiene nada de conocimientos. (Soy profesora de inglés) Hasta el  momento me he familiarizado bien con los conceptos. La articulación y graduación de los contenidos me parece muy amigable.;Positive;Course Content
La verdad promete aprendizaje, claro está, desde que pongamos de nuestro empeño, genera confianza y ganas de aprender.;Positive;None
Excelente eso de ir aprendiendo y practicando al mismo tiempo me gusto demaciado. si hay informacion y algo que leer pero es mas practica y creando proyectos lo que me esta funcionando para aprender.;Positive;Learning Experience
Agrega demasiados ejemplos negativos, por ejemplo para que me entiendas. podrias decir miles de cosas que no son un lapiz y nunca acabarias, deberías ir directo al tema, el lápiz es esto tiene punta, goma de borrar y es de madera.;Negative;None
El profesor no tiene autocritica, si das tu opinión del curso te expone en su grupo de FB burlándote de tí, no les recomiendo tomar un curso de una persona que cree que una opinión es la verdad absoluta.;Negative;Instructor Quality
Voy caminando, al paso adecuado, sin correr, para asimilar y practicar, por los consejos y la brillante manera de explicar, excelente.;Positive;Positive Feedback
Algunas cosas no me funciona si comparte el código fuente en GitHub sería mucho mejor y también trabajar con windows;None;None
Es un curso qué al principio tiene una explicación sencilla y clara de como tomar el curso, además de algunas recomendaciones.;Positive;Course Structure
Con el poco porcentaje que llevó, pero sinceramente vi los temas y algunos vides y sin duda es uno de los mejores cursos completos que he comprando, solo necesitan paciencia porque son muchos temas que tienes que poner en práctica, pero aparte de enseñarte a crear paginas web de cero sin framework y luego php, es como wow, %100 recomendado y felicidades al instructor :D;Positive;Course Quality
Es un curso donde solo con la introducción de lo que será el proyecto final se evidencia que va a ser de gran desarrollo para adquirir o repasar conocimientos entorno al desarrollo web.;Positive;Course Content
porque esta muy fácil de entender, la verdad es que había tomado varios cursos y me costaba mucho seguirles el ritmo, y hasta ahorita todo de maravilla y es concisa la información y suuuper practica por que veo tangible lo que aprendo y como avanzo de manera real, muy bien, me encanta esta forma de enseñar, sigue así...gracias.;Positive;Positive Feedback
Promete mucho. Con este video introductorio me dieron más ganas de aprender y a su tiempo poder lograr algo como lo presentado anteriormente.;Positive;Course Recommendation
Hasta ahora, es maravilloso. Explicación clara, alta calidad de video y audio! Se detiene a explicar los conceptos de una manera intuitiva. Más que recomendado;Positive;Positive Feedback
Muy bien explicado, hace que te sientas como en una clase real, mas que anda para los que nos gusta estos temas nos hico ver como si fuera una simple platica;Positive;Course Quality
es una excelente elección, ya que esta muy bien explicado y te enseña las posibles opciones de programación para que puedas enfocarte a la que mas te guste.;Positive;Course Quality
Me está gustando bastante como clarifica las funciones y las tecnologías específicas de cada área del desarrollo.;Positive;Course Content
Al inicio no estaba entendiendo nada de lo que estaba viendo, pero ya luego fui viendo y entendiendo que este es una demostración de los proyectos futuros del curso.;Positive;Course Content
yo ya sabia css un poco pero gracias a este curso algunos conceptos me quedaron mas claros todavia y ya se en que otras situaciones usar los elementos;Positive;Course Content
Es un curso bastante completo, cuenta con todo lo que necesito para probar mis habilidades y adquirir el conocimiento que quiero para poder desempeñarme como desarrollador.;Positive;Completeness of Course
Maneja la información entendible en todo momento aún para los que no tenemos conocimiento especializado en el desarrollo web;Positive;Web Development
Excelente curso, lo recomiendo mucho, tiene lo necesario para que te acepten en el mundo laboral. Solo mucha práctica y ganas de aprender;Positive;Course Recommendation
Me parece Excelente y me encanta la tecnologia, no me fatiga me da mas ganas en la medida e que avanzo en el conocimiento, tengo dos sitios web creados por un hijo que estudia ingenieria de sistemas, pero la pagina no me gusta quiero poder inventar mi propia pagina, enfocarme en esas dos paginas y trabajar en ellas, mas adelante les cuento mi historia en el mundo de la tecnologia y Gracias a Ustedes que son buenos profesores en el campo del diseño web, estoy preparado y tengo tiempo disponible para dedicarle 4 horas diarias a este curso, si tengo que repetir un video lo repito lo importante es aprender y para mi siendo un Dermatologo y haciendo la Teledermatologia o consulta en linea que fue mi una de mis tantas ideas que he regalado, llego el momento de dedicarme a mi profesion desde el celular al celular www.julionaarchar.com Y www.fubale.org son dos dominios que tengo que quiero hacerlos full programados yo mismo asi que enseñenme que soy una inteligencia Humana, tengo 68 años de edad y me distraigo aprendiendo.;Positive;Course Recommendation
Llevo poco tiempo en el curso, pero hasta ahora está siendo una buena experiencia de aprendizaje. Muy bien explicado por parte de Juan.. espero seguir enganchado.;Positive;Course Quality
mas allá de la elocuencia con la que se imparte el curso, te explica paso a paso mediante la practica el para que sirve cada elemento utilizado en el código, teniendo así una mejor recepción de la información que se esta entregando al estudiante. personalmente no tengo conocimientos previos del tema sin embargo entiendo perfectamente las clases;Positive;Course Quality
Me parece que voy aprender mucho, justo lo que necesito para mejorar en mi puesto de trabajo, se escucha muy bieny es muy claro en la explicacion;Positive;Course Recommendation
porque la persona se toma el tiempo y paciencia para explicar de una manera concisa, clara, ligera y a la ves detallada los paso a pasos para la realización del proyecto.;Positive;Instructor Quality
Bastante bien explicado, son proyectos reales donde tus limites eres tu mismo y ademas consigues experencia de todos los lenguajes.;Positive;Positive Feedback
Muy claras las explicaciones, ya tengo conocimientos de desarrollo pero siempre se puede aprender más y rescato muchos recursos de este curso de momento.;Positive;Positive Feedback
Un curso muy bien organizado, con una forma clara de explicar y demasiado practico, lo que permite que uno pueda comprender facilmente y aprender a traves de la practica y proyectos;Positive;Course Quality
Apenas estoy empezando, considero que Juan la persona que imparte el curso es generoso con el conocimiento y honesto desde su experiencia, y la comparte para que podamos entender de que se tratan las funciones de un Desarrollador web, así nos prepara para un futuro en esta carrera y los que elegimos encaminarnos en ella, se hace entender muy bien a mi parecer, y aunque aún no he empezado con el material propio del curso, puedo ver que las clases serán muy claras, y preciso en el conocimiento que trasmite;Positive;Instructor Quality
Se habla mucho más de lo que aprenderás  que lo que te enseñan en realidad,  SERÍA MEJOR ENSEÑAR Y EXPLICAR CÓMO HACER Y CREAR QUE HABLAR DE LO AUE SE APRENDERÁS A FUTURO !;Negative;None
Ha sido una muy buena elección, estoy completamente de acuerdo con el prof. de que es mejor aprender practicando en vez de solo ver teoría y la historia.;Positive;Course Quality
Enseña desde lo basico hasta lo mas complejo, un muy buen curso si quieres que te guien desde 0 para aprender sobre el desarrollo web, lo rercomiendo;Positive;Course Recommendation
No explica al 100% el uso de la herramienta VSCode, aunque viene en la descripción de la extensión, me parece importante mencionarlo en el curso, ya que alguien nuevo en la programación podría perderse.;Negative;Course Content
Tengo muchas expectativas con el curso, la verdad deseo que las cumpla. El tutor parece ser que tiene amplio conocimiento y experiencia en la información y datos que maneja. Igual es el primer video, con el paso del tiempo lo calificaré nuevamente.;Positive;Course Expectations
cero experiencia, con ganas de aprender algo nuevo, hasta ahora supero mis expectativas, espero que siga así y pueda aprender una profesión nueva;Positive;Course Expectations
Fue buena eleccion la forma de explicar metodica y simple paso por paso ayuda muchisimo a comprender finalmente todo;Positive;Instructor Quality
Me gusta mucho la idea de poder lograr realizar grandes proyectos. Me apasiona el mundo de la creatividad y creo que puedo aprender bastante.;Positive;Course Content
Si estoy muy interesada, en adquirir conocimientos y ponerlos en practica ..así poder competir en el mercado laboral con este curso como herramienta;Positive;Course Recommendation
Supeeeeeeeeeeer!!!, Ya tengo ganas de empezar a aprender y poder desarrollar estos proyectos tan elaborados, que emoción :D;Positive;Course Engagement
Estuve buscando un curso con el cual aprender lo que no pude en la universidad ya que el profesor que me tocó no fue lo que esperaba y un amigo me recomendó este curso porque el aprendió también por su cuenta estudiando, así que allí voy.;Positive;Course Recommendation
Me gusta la parte en la que el docente de toma el tiempo de explicar los fundamentos y dar concejos para tomar bien el curso. En mi perspectiva, eso habla de experiencia, saludos.;Positive;Instructor Quality
Excelente el hecho que se enseñe por medio de proyectos, es mi forma favorita de aprender y las explicaciones son excelentes.;Positive;Positive Feedback
El curso esta estructurado y el creador se preocupa porque el estudiante tenga una experiencia de aprendizaje completa;Positive;Course Structure
El curso se centró exclusivamente en lo básico, repasando conceptos que ya eran familiares para mí. Aunque al principio tenía esperanzas de que profundizaríamos en técnicas más avanzadas y desafiantes, me encontré rápidamente aburrido y sin ninguna oportunidad de aprender algo nuevo.;Negative;Course Content
Por el momento se que aprende mucho pero lo unico que podría decir es que inicio explicando el proyecto pero sin contexto de nada, esperaba una pequeña presentación de la persona y eso me confundió un poco porque pense que me había saltado una clase o algo por estilo.;Negative;Course Structure
En ciertos momentos ciento que  hace cambios en el codigo muy rapido y cambia de pestaña, quisiera que fuera un poco mas despacion cuando hace cambios en el codigo;Negative;Course Quality
Es mi primera vez haciendo este curso y en general haciendo cursos en udemy este es el primer curso que tomare en esta plataforma, no soy un experto en programacion web y quiero aprender y este curso suena super bien y super completo, muchas al creador.;Positive;Course Recommendation
Muy buen curso, como todos sus cursos, bien explicado y con la suficiente práctica para afianzar los conocimientos.;Positive;Course Quality
Porque el audio es claro y la manera en que empieza el curso es bien centrada a lo que uno quiere escuchar. Menos charla mas acción, asi es este curso.;Positive;Instructor Quality
Me entusiasma bastante todo lo que voy a poder a aprender, gracias a este demo del curso despeje mis dudas y ahora veo que si es muy completo.;Positive;Course Content
considero que es muy buen proyecto y que me ayudara mucho para desarrollar futuras aplicaciones web con pasarelas de pago;Positive;Web Development
