Content,,Consumer Sentiment Classifier,Automatic Classifier
not appropriate at all. was expecting more of a project based example. like actual product based complete execution along with how to check and see the results.,,Negative,None
"Very good for beginners. If you have no or little experience with Google AdWords, then this is the course for you.",,Positive,Beginner-Friendly
"The course is detailed, a step-by-step walk through is provided for each material. However, some explanations are a bit hard to understand when you are a complete beginner.",,Negative,Beginner-Friendly
AdWords interface shared in this video are of 2013/2014 considering too many changes done by Google.,,None,Outdated Material
I learned alot about how google ads really work.  I'm in sales and someone else in my company does the marketing but super helpful to know some of these familiar terms.,,Positive,Google AdWords Basics
Easy to follow high level overview of AdWords. He hits the main concepts without getting lost in the details.,,Positive,Comprehensive Overview
"This Google Adwords for Beginners course changed my life. Must take this course, If you are new in the digital marketing world or if you want to improve your PPC skills. This course helped me quite a lot to pass my Google AdWords exam. Every single lecture in this course gives you so much great insightful. The best part is, the instructor (Corey) shows you how to build and run a complete Campaign step-by-step in plain English and is always ready to help. I would like to thank Corey to introduced such a great course and I am glad that I attended the course that helped me to got the job. Must recommended course !",,Positive,Instructor Presentation
"I don t find it very useful. It seems disconnected, the examples are poor. It doesn t even go through the basics of opening an adwords account and explaining how it has changed.",,Negative,Outdated Material
Explanations become a little scattered once keywords become involved. Seems like he is jumping around thought wise.,,Negative,None
"It is very informative. The instructor explains in a good, easy and clear way.he is to the point . He doesn't repeat himself and waste my time . You will benefit from every minute.",,Positive,Engaging Content
Corey's course is vey well organized and presented. Udemy is becoming very saturated with content of people not actually succeeding in what they teach. You can clearly tell Corey has great experience in this field. Don't be on the fence about taking this course. Get it and you'll be glad you did. Thank you for the valuable content Corey.,,Positive,Engaging Content
It would be great if there would be interaction for people taking the course having their own screens to work,,Positive,None
"I like how everything is broken down / walked through. In addition to helping do the walk through, I really like how the importance / the why of everything has been explained because it takes it from learning to really understanding what you are doing.",,Positive,Walk-Throughs
Corey teaches you the core basics of developing a Google PPC campaign in a series of video lectures and on screen tutorials.,,Positive,Course Content
It contained a lot of knowledge for someone whos never used AdWords before and wants to get started.,,Positive,Beginner-Friendly
"you know ive got to say this i purchased Perry Marshals book a year or so ago and got bogged down with it all.  Your course was worth more than his book particularly the walk through examples and just being able to think, oh this will work with that, and if i do that x should be the result. When i started in business back in 2001 i was lucky enough to get adwords working in my favour before everyone else jumped on the band waggon.  Now its a different game completely but i can see by your course all my original mistakes and even current ones. What is funny though, is that i didnt realise about remarketing and now understand why those annoying images would re-appear about a company or business i looked at earlier in the week, now at least i know what they are doing and why.",,Positive,Engaging Content
"I bought two Google AdWords courses and this one is WAY better. There are relevant slides, great information and we get a walkthrough of someone's ad account for some first hand experience or to follow along on your own. Perfect.",,Positive,Engaging Content
Great course. It's detailed which I appreciate but it's definitely something I will have to continually watch to fully grasp it. There is a lot to learn and understand and I am not technical at all!,,Positive,Beginner-Friendly
Really informative and to the point worth take the course. Would recommend to anyone wanting to get started with google adwords,,Positive,Beginner-Friendly
"Overall I've been quite disappointed with the quality of the information I've received. Also, the content is displayed on a screen which is incredibly blurry!",,Negative,None
"I was already using Ad platform before, but anyways I found something I forgot or didn't use before. Thanks!",,Positive,None
how can it be best for 2020. when it was last updated in july 2018. even the ui does not match. just changing the name does not make it,,Negative,Outdated Material
I thought it would give more theory behind why you would advertise on adwords adn make certain selections.,,Negative,None
So Far So Good.   Instructor seems knowledgeable and able to reley the information in ways that I understand.,,Positive,Instructor Presentation
This was a great course that has taught me more than enough to run my first Google adwords. That is what I hoped for from this course and it delivered.,,Positive,Course Content
Very good and explanatory course. I also had a few questions for Corey and he responded really quick and was very helpful!,,Positive,Instructor Presentation
"Sesuai dengan yang saya butuhkan dalam pekerjaan, untuk membuat strategi perencanaan iklan di digital marketing",,Positive,Course Content
"It's very understandable, no complecations at all. Before I bought this coarse, I thought I wouldn't understand the material.",,Positive,Beginner-Friendly
I think it is a good pace for learning about AdWords. I have found some content very interesting and I have learned things I did not know. I am a little familiar with AdWords and I still found this course helpful.,,Positive,Course Content
"I learned a lot from this course, taking me from completely clueless to someone very knowledgeable with what adwords is all about.  I would recommend this to anyone looking to get up to speed on adwords!",,Positive,Beginner-Friendly
Straightforward and no time wasted. Can easily take this course and set up some robust campaigns in adwords.,,Positive,Beginner-Friendly
A little more information would have been better. It's basically an introductory course defining every option in a campaign.,,Positive,Course Content
"Good, would like to see face of person giving course - show me yourself on video, more personal connection",,Positive,Engaging Content
Wonderful rhythm and pace. Was able to play it at 1.25X speed. Great length as well. No change to loose focus.,,Positive,None
"I have been using Adwords sparingly for about 18 months, but I'm always getting confused. I have already learnt about the importance of quality scores, something I never actually understood. I'm hopeful that I will learn more and finally get to understand keywords.",,Positive,Google AdWords Basics
"Feel a bit like a college student is teaching it. Its not bad but the teacher sounds a bit unsure. I think he has the information I need, but maybe by the end of the course he will have figured things out. :)",,Positive,Engaging Content
"I am starting from complete scratch with Adwords and I couldnt have picked a better place to start this process.  This was very easy to follow, very well constructed and Corey does a great job all around.  Good work!  On to the next course!",,Positive,Engaging Content
"If you'restarting out with AdWords, this course is exactly what you need. Thanks Corey - Can't wait for your ""Advanced AdWords Course""",,Positive,Beginner-Friendly
Great learning intro to course learning - good pace of speech - good & relevant examples. Creates anticipation to want to continue learning.,,Positive,Engaging Content
Completely out of date. I have asked for a refund. There is comment after comment from students about the slides being out of date and the instructor has done nothing about it.,,Negative,Outdated Material
"I am enjoying this very much, and learning at the same time.  Corey speaks very clearly and slowly enough so I can take some notes.  I know that we are paying much too much for Google Adwords and getting nothing in return, so apparently we are doing something very wrong.  That is why I am taking this course.",,Negative,Beginner-Friendly
How come this course has no hands-on at all. It is all just theoretical information. i think i wasted my money!!,,Negative,None
Enjoy how every aspect is being covered. Great for beginners who need to make sense of the AdWords world,,Positive,Beginner-Friendly
"So far, it has been interesting. A lot of it I already know as I've worked in marketing for such a long time, but I signed up to this course as I've always had others set up adwords, I've just set the strategy, so I'm gaining some useful insights",,Positive,Useful Resources
"The lessons are regarding the old platform of the Google Ads, and in addition I believe that an improvement would be necessary",,Negative,Outdated Material
