Content,Tag
The Eras Tour was my first concert. And it was literally magical. The high this concert gave will be hard to compare to now that I move on to shorter/shorter budget concerts. Taylor did a great job! Can’t wait to see what else she will do after she gets the very well deserved break she needs!!,Overall Organization
I cannot believe how amazing this concert and tour was. I brought my daughter and wife and we will never forget it!!,Best Concert Ever
I cannot believe how amazing this concert and tour was. I brought my daughter and wife and we will never forget it!!,Memorable Night
"-insane live music
-insane &phenomenal dance
-the swifties were so nice and supportive; made us feel so safe
-AMAZINGG artists (❤️gracie) 
-smooth operating by ticketmaster. Got into the stadium really easily despite large crowds.",Incredible Performance
"-insane live music
-insane &phenomenal dance
-the swifties were so nice and supportive; made us feel so safe
-AMAZINGG artists (❤️gracie) 
-smooth operating by ticketmaster. Got into the stadium really easily despite large crowds.",Fan Community
"-insane live music
-insane &phenomenal dance
-the swifties were so nice and supportive; made us feel so safe
-AMAZINGG artists (❤️gracie) 
-smooth operating by ticketmaster. Got into the stadium really easily despite large crowds.",Overall Organization
Amazing concert. Fast lines going in and out of the stadium. Food and drinks not overpriced. Great execution!,Amazing Production
Amazing concert. Fast lines going in and out of the stadium. Food and drinks not overpriced. Great execution!,Overall Organization
"We were so lucky to get tickets in one of the pre-concert drops to the final show on Dec 8.

Taylor was amazing and the crowd was absolutely electric.",Best Concert Ever
"We were so lucky to get tickets in one of the pre-concert drops to the final show on Dec 8.

Taylor was amazing and the crowd was absolutely electric.",Taylor Swift's Energy
"We were so lucky to get tickets in one of the pre-concert drops to the final show on Dec 8.

Taylor was amazing and the crowd was absolutely electric.",Atmosphere and Vibe
"Finding the words to encapsulate my eras tour experience seems impossible but I’m going to do my best because I feel like I have to say something. Like everyone else, I tried to get tickets for this tour at every opportunity. My friends and I were willing to go anywhere at any time as long as we could get tickets, but it didn’t work out over and over again. One last time I registered for verified fan when the Vancouver dates were released. Once again I got waitlisted, but while on a work trip to Toronto I got a text in the airport that I was cleared from the waitlist and suddenly the moment I was chasing for over a year was right in front of me. I surprised my best friend with these tickets for her birthday 3 weeks after I bought them with custom friendship bracelets with the show date and location. Fast forward 1 year and 29 days and there we are in Vancouver for the last ever eras tour show. Everything worked out exactly the way it was meant to and I feel that in my soul. I’ll never get over being about to be part of the cultural movement that was the eras tour, from talking my about every detail of the show with my friends, going to see the movie in theaters, trading friendship bracelets with girls at brunch before the show to spending hours and hours and hours bedazzling a body suit to wear to the show, to finally experiencing it live with my best friends. Thank you Taylor Swift, for existing in the same timeline as me and for bringing the magic and joy of girlhood to an all time high and giving us all the confidence and self worth to exist as our truest and most authentic selves. I laughed, I cried (a lot), and embraced the women in my life I love so much.  And I can confidently say, I have been changed for good.",Fan Community
"Finding the words to encapsulate my eras tour experience seems impossible but I’m going to do my best because I feel like I have to say something. Like everyone else, I tried to get tickets for this tour at every opportunity. My friends and I were willing to go anywhere at any time as long as we could get tickets, but it didn’t work out over and over again. One last time I registered for verified fan when the Vancouver dates were released. Once again I got waitlisted, but while on a work trip to Toronto I got a text in the airport that I was cleared from the waitlist and suddenly the moment I was chasing for over a year was right in front of me. I surprised my best friend with these tickets for her birthday 3 weeks after I bought them with custom friendship bracelets with the show date and location. Fast forward 1 year and 29 days and there we are in Vancouver for the last ever eras tour show. Everything worked out exactly the way it was meant to and I feel that in my soul. I’ll never get over being about to be part of the cultural movement that was the eras tour, from talking my about every detail of the show with my friends, going to see the movie in theaters, trading friendship bracelets with girls at brunch before the show to spending hours and hours and hours bedazzling a body suit to wear to the show, to finally experiencing it live with my best friends. Thank you Taylor Swift, for existing in the same timeline as me and for bringing the magic and joy of girlhood to an all time high and giving us all the confidence and self worth to exist as our truest and most authentic selves. I laughed, I cried (a lot), and embraced the women in my life I love so much.  And I can confidently say, I have been changed for good.",Magical Experience
"Finding the words to encapsulate my eras tour experience seems impossible but I’m going to do my best because I feel like I have to say something. Like everyone else, I tried to get tickets for this tour at every opportunity. My friends and I were willing to go anywhere at any time as long as we could get tickets, but it didn’t work out over and over again. One last time I registered for verified fan when the Vancouver dates were released. Once again I got waitlisted, but while on a work trip to Toronto I got a text in the airport that I was cleared from the waitlist and suddenly the moment I was chasing for over a year was right in front of me. I surprised my best friend with these tickets for her birthday 3 weeks after I bought them with custom friendship bracelets with the show date and location. Fast forward 1 year and 29 days and there we are in Vancouver for the last ever eras tour show. Everything worked out exactly the way it was meant to and I feel that in my soul. I’ll never get over being about to be part of the cultural movement that was the eras tour, from talking my about every detail of the show with my friends, going to see the movie in theaters, trading friendship bracelets with girls at brunch before the show to spending hours and hours and hours bedazzling a body suit to wear to the show, to finally experiencing it live with my best friends. Thank you Taylor Swift, for existing in the same timeline as me and for bringing the magic and joy of girlhood to an all time high and giving us all the confidence and self worth to exist as our truest and most authentic selves. I laughed, I cried (a lot), and embraced the women in my life I love so much.  And I can confidently say, I have been changed for good.",Emotional Connection
"Finding the words to encapsulate my eras tour experience seems impossible but I’m going to do my best because I feel like I have to say something. Like everyone else, I tried to get tickets for this tour at every opportunity. My friends and I were willing to go anywhere at any time as long as we could get tickets, but it didn’t work out over and over again. One last time I registered for verified fan when the Vancouver dates were released. Once again I got waitlisted, but while on a work trip to Toronto I got a text in the airport that I was cleared from the waitlist and suddenly the moment I was chasing for over a year was right in front of me. I surprised my best friend with these tickets for her birthday 3 weeks after I bought them with custom friendship bracelets with the show date and location. Fast forward 1 year and 29 days and there we are in Vancouver for the last ever eras tour show. Everything worked out exactly the way it was meant to and I feel that in my soul. I’ll never get over being about to be part of the cultural movement that was the eras tour, from talking my about every detail of the show with my friends, going to see the movie in theaters, trading friendship bracelets with girls at brunch before the show to spending hours and hours and hours bedazzling a body suit to wear to the show, to finally experiencing it live with my best friends. Thank you Taylor Swift, for existing in the same timeline as me and for bringing the magic and joy of girlhood to an all time high and giving us all the confidence and self worth to exist as our truest and most authentic selves. I laughed, I cried (a lot), and embraced the women in my life I love so much.  And I can confidently say, I have been changed for good.",Overall Organization
Getting to see the ERAS Tour on the last night was the greatest experience of my life. I just can’t believe how lucky I am to have gotten tickets. I would 100/10 recommend seeing Taylor in concert! She’s amazing!!,Magical Experience
Getting to see the ERAS Tour on the last night was the greatest experience of my life. I just can’t believe how lucky I am to have gotten tickets. I would 100/10 recommend seeing Taylor in concert! She’s amazing!!,Best Concert Ever
Getting to see the ERAS Tour on the last night was the greatest experience of my life. I just can’t believe how lucky I am to have gotten tickets. I would 100/10 recommend seeing Taylor in concert! She’s amazing!!,Taylor Swift's Energy
Getting to see the ERAS Tour on the last night was the greatest experience of my life. I just can’t believe how lucky I am to have gotten tickets. I would 100/10 recommend seeing Taylor in concert! She’s amazing!!,Fan Community
"It was magical! A great show, memories were made! I will think about this for the rest of my life.",Magical Experience
"It was magical! A great show, memories were made! I will think about this for the rest of my life.",Memorable Night
"Bittersweet but a Taylor never disappoints! Loved every second of it. The costumes, the choreography, the set list, our Surprise Songs, the fans, Vancouver!!!, the list continues…all these and many more absolutely slayed!!",Incredible Performance
"Bittersweet but a Taylor never disappoints! Loved every second of it. The costumes, the choreography, the set list, our Surprise Songs, the fans, Vancouver!!!, the list continues…all these and many more absolutely slayed!!",Fan Community
"Bittersweet but a Taylor never disappoints! Loved every second of it. The costumes, the choreography, the set list, our Surprise Songs, the fans, Vancouver!!!, the list continues…all these and many more absolutely slayed!!",Magical Experience
I’ve been a big fan since I was in middle school which is 10+ years ago! I’ve been to every concert she’s had since speak now and I plan to for the rest of my life!!,Fan Community
The energy was over the top! Taylor Swift has made an historic event with a show like never seen before!,Taylor Swift's Energy
The energy was over the top! Taylor Swift has made an historic event with a show like never seen before!,Incredible Performance
"getting into the arena was a bit difficult. there were long snaky lines throughout many parts of downtown vancouver. while i understand a large amount of people have to get through a small opening at the same time, i felt this could’ve been handled better, especially since it was the third (and final) night. for instance, a guard was directing foot traffic through cones and caution tape, while stating that sometimes the other gate (gate h) opens up, but she had no idea when it would. when i was about to the front of gate b, gate h suddenly opened, causing a slew of concert goers to rush over and disrupt the coned off line. there were also no lights around this part of the stadium, causing a bit of a safety issue as there are many stairs. i felt the overall foot traffic could’ve been directed better, as this was the final night in the city with the same amount of crowd. i completely understand that many concert goers were uninformed, standing around, causing and incredible inconvenience for those actively fighting to get into a line, but a stronger presence of direction could’ve resolved this issue. for instance, an email explaining gate information, times, and closures would’ve been helpful for those who have never visited the city. clear ‘start’ signs to show where lines begin would’ve also been helpful since may were traveling from all street directions. an appropriate amount of gates open to better control the influx of foot traffic also would’ve been confident. overall, staff did a great job of trying to control the crowd, but a little more guidance would’ve been helpful. thank you to all who made this experience possible!",Overall Organization
"Thank you, Taylor, for sharing your talent with the world. This show was amazing. Just three hours of non-stop action performed with nothing but love and joy. I am honored and blessed to have been there, and for the rest of my life I will remember it all.",Incredible Performance
"Thank you, Taylor, for sharing your talent with the world. This show was amazing. Just three hours of non-stop action performed with nothing but love and joy. I am honored and blessed to have been there, and for the rest of my life I will remember it all.",Magical Experience
"Thank you, Taylor, for sharing your talent with the world. This show was amazing. Just three hours of non-stop action performed with nothing but love and joy. I am honored and blessed to have been there, and for the rest of my life I will remember it all.",Memorable Night
"Thank you, Taylor, for sharing your talent with the world. This show was amazing. Just three hours of non-stop action performed with nothing but love and joy. I am honored and blessed to have been there, and for the rest of my life I will remember it all.",Long Show Duration
Best concert I’ve ever been to. An unforgettable night,Best Concert Ever
Best concert I’ve ever been to. An unforgettable night,Memorable Night
"This was our second time going to the Eras
Tour. We were so happy to be there the final show. It was just as amazing as the first time we went. A well done show with fantastic energy and performances.",Incredible Performance
"This was our second time going to the Eras
Tour. We were so happy to be there the final show. It was just as amazing as the first time we went. A well done show with fantastic energy and performances.",Taylor Swift's Energy
"This was our second time going to the Eras
Tour. We were so happy to be there the final show. It was just as amazing as the first time we went. A well done show with fantastic energy and performances.",Memorable Night
"The Eras Tour was the most amazing experience. Taylor and her crew put on a truly magnificent concert that left fans changed. It is hard to put into words how phenomenal it was. Truly, I hope I carry those memories with me in my entire life. I’m so glad I got to be a part of this historic and iconic event.",Magical Experience
"The Eras Tour was the most amazing experience. Taylor and her crew put on a truly magnificent concert that left fans changed. It is hard to put into words how phenomenal it was. Truly, I hope I carry those memories with me in my entire life. I’m so glad I got to be a part of this historic and iconic event.",Best Concert Ever
"The Eras Tour was the most amazing experience. Taylor and her crew put on a truly magnificent concert that left fans changed. It is hard to put into words how phenomenal it was. Truly, I hope I carry those memories with me in my entire life. I’m so glad I got to be a part of this historic and iconic event.",Emotional Connection
"The Eras Tour was the most amazing experience. Taylor and her crew put on a truly magnificent concert that left fans changed. It is hard to put into words how phenomenal it was. Truly, I hope I carry those memories with me in my entire life. I’m so glad I got to be a part of this historic and iconic event.",Fan Community
"The Eras Tour was the most amazing experience. Taylor and her crew put on a truly magnificent concert that left fans changed. It is hard to put into words how phenomenal it was. Truly, I hope I carry those memories with me in my entire life. I’m so glad I got to be a part of this historic and iconic event.",Memorable Night
"I had behind the stage seating with no obstructions. The screen was right there which was nice, but since there was one screen and it had been programmed to mostly show the backgrounds and supporting graphics for each of the eras, we often didn’t get to see what Taylor was doing. The Jumbotron screen facing us was blank, which I thought was too bad because it would’ve helped us be able to see more of her performance while still seeing the backgrounds.",Overall Organization
"Thank you Taylor for creating such a loving, fun, and amazing atmosphere. You allowed us to dance, sing, cry, and all share the most magical moments with you and somehow, in this crazy world, all 160,000 of us this weekend, were like family. You made something so huge seem so intimate. You made something beautiful and you changed the world with this tour.",Magical Experience
"Thank you Taylor for creating such a loving, fun, and amazing atmosphere. You allowed us to dance, sing, cry, and all share the most magical moments with you and somehow, in this crazy world, all 160,000 of us this weekend, were like family. You made something so huge seem so intimate. You made something beautiful and you changed the world with this tour.",Atmosphere and Vibe
"Thank you Taylor for creating such a loving, fun, and amazing atmosphere. You allowed us to dance, sing, cry, and all share the most magical moments with you and somehow, in this crazy world, all 160,000 of us this weekend, were like family. You made something so huge seem so intimate. You made something beautiful and you changed the world with this tour.",Emotional Connection
"Thank you Taylor for creating such a loving, fun, and amazing atmosphere. You allowed us to dance, sing, cry, and all share the most magical moments with you and somehow, in this crazy world, all 160,000 of us this weekend, were like family. You made something so huge seem so intimate. You made something beautiful and you changed the world with this tour.",Fan Community
Best experience of my life. I am grateful i was able to get the $16 no stage view tickets at first and i tried again to get “ better “ seats and i finally did! I Got floor tickets and that is what made my experience even better. Seats were amazing almost close to the stage! I am just glad i got to finally experience The Taylor Swift Eras Tour Concert as my first ever concert! Thank you Ticketmaster and most importantly Big Thanks to Taylor and her Whole Crew involved! MAYBE for next time lower the prices a tad more lower.,Best Concert Ever
Best experience of my life. I am grateful i was able to get the $16 no stage view tickets at first and i tried again to get “ better “ seats and i finally did! I Got floor tickets and that is what made my experience even better. Seats were amazing almost close to the stage! I am just glad i got to finally experience The Taylor Swift Eras Tour Concert as my first ever concert! Thank you Ticketmaster and most importantly Big Thanks to Taylor and her Whole Crew involved! MAYBE for next time lower the prices a tad more lower.,Ticketing Issues
Best experience of my life. I am grateful i was able to get the $16 no stage view tickets at first and i tried again to get “ better “ seats and i finally did! I Got floor tickets and that is what made my experience even better. Seats were amazing almost close to the stage! I am just glad i got to finally experience The Taylor Swift Eras Tour Concert as my first ever concert! Thank you Ticketmaster and most importantly Big Thanks to Taylor and her Whole Crew involved! MAYBE for next time lower the prices a tad more lower.,Taylor Swift's Energy
Best experience of my life. I am grateful i was able to get the $16 no stage view tickets at first and i tried again to get “ better “ seats and i finally did! I Got floor tickets and that is what made my experience even better. Seats were amazing almost close to the stage! I am just glad i got to finally experience The Taylor Swift Eras Tour Concert as my first ever concert! Thank you Ticketmaster and most importantly Big Thanks to Taylor and her Whole Crew involved! MAYBE for next time lower the prices a tad more lower.,Memorable Night
"I think Taylor's concert has a very obvious flaw, especially if you see it more than once. The biggest issue is that it actually ends. I hope the singer takes this seriously and works on it. A concert that eventually comes to an end? Truly disappointing.",Ticketing Issues
City of Vancouver did a great job on being organized and ready for us. Too few merch sale locations and frequently sold out. Concert was AMAZING! BC Place was ready and organized. Was a fun weekend!,Overall Organization
City of Vancouver did a great job on being organized and ready for us. Too few merch sale locations and frequently sold out. Concert was AMAZING! BC Place was ready and organized. Was a fun weekend!,Amazing Production
City of Vancouver did a great job on being organized and ready for us. Too few merch sale locations and frequently sold out. Concert was AMAZING! BC Place was ready and organized. Was a fun weekend!,Memorable Night
"Cannot say enough about the show, it was a once in a lifetime experience!  That said, I know that we were some of the lucky ones able to get tickets locally.  The majority of the crowd was people who had travel to attend.  I wish there were more available for locals to buy and attend. So many people tried and tried to get tickets and were unsuccessful yet there were many we talked to who have seen multiple shows and had travelled to see the last ones here.  
The resale prices were ridiculously high which was also a disappointment. It priced so many out of buying tickets.",Ticketing Issues
"I went to the final show of the Eras tour and it was no less than magical! I’m still singing dancing and bringing that energy into every aspect of my life and the world! So glad I went to the Tampa show on April 14, 2023 and the last show in Vancouver December 8, 2024. I love good music!",Magical Experience
"I went to the final show of the Eras tour and it was no less than magical! I’m still singing dancing and bringing that energy into every aspect of my life and the world! So glad I went to the Tampa show on April 14, 2023 and the last show in Vancouver December 8, 2024. I love good music!",Taylor Swift's Energy
"This was an amazing concert. The line ups were massive, not too many health options for food. The merch line ups were insane. Happy to see additional bathrooms available for the extra female attendants. But the bathroom line was still insane.",Amazing Production
"This was an amazing concert. The line ups were massive, not too many health options for food. The merch line ups were insane. Happy to see additional bathrooms available for the extra female attendants. But the bathroom line was still insane.",Overall Organization
"This was an amazing concert. The line ups were massive, not too many health options for food. The merch line ups were insane. Happy to see additional bathrooms available for the extra female attendants. But the bathroom line was still insane.",Ticketing Issues
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Best Concert Ever
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Long Show Duration
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Amazing Production
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Taylor Swift's Energy
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Emotional Connection
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Atmosphere and Vibe
"Taylor’s concert was the most amazing concert I have ever attended, and I have seen many legends over the decades, or Eras of my life. Taylor began on time and never stopped entertaining us for 3 1/2 hours. Even when she was doing quick costume changes we were entertained with amazing dancers and beautiful graphics. The huge screen let everyone feel like we were much closer. It was such an energetic performance, and Taylor made us feel so special for turning out to see her, she loves performing and appreciates her fans. The enthusiasm of the crowd was so contagious, everyone was happy, friendly and kind. An amazing,  positive evening I’ll always remember. What a STAR!",Memorable Night
My daughter and I had the best time I knew it was gonna be a good show but never in 1 million years did I think it would be the best thing I’ve ever seen in an incredibly magical experience,Best Concert Ever
My daughter and I had the best time I knew it was gonna be a good show but never in 1 million years did I think it would be the best thing I’ve ever seen in an incredibly magical experience,Magical Experience
"Literally the best show that ever existed. I have been to hundreds of concerts and have never before attended something so magical. The crowd, the environment, the set, the setlist—it was all incomparable. Will live rent free in my head for all eternity",Best Concert Ever
"Literally the best show that ever existed. I have been to hundreds of concerts and have never before attended something so magical. The crowd, the environment, the set, the setlist—it was all incomparable. Will live rent free in my head for all eternity",Magical Experience
"Literally the best show that ever existed. I have been to hundreds of concerts and have never before attended something so magical. The crowd, the environment, the set, the setlist—it was all incomparable. Will live rent free in my head for all eternity",Atmosphere and Vibe
Taylor Swift gives her all in her performances. A true artist. The venue was good although the offerings of food and drinks were not great. And after receiving a note that bags had to be a certain size- I brought that size of bag that fit just my phone and credit cards. As we tried to go through the gate I was accosted 5 times by people insisting my bag was too big and would have to check it for $40. I was clearly not happy.  Thankfully the concert was perfect!,Incredible Performance
Taylor Swift gives her all in her performances. A true artist. The venue was good although the offerings of food and drinks were not great. And after receiving a note that bags had to be a certain size- I brought that size of bag that fit just my phone and credit cards. As we tried to go through the gate I was accosted 5 times by people insisting my bag was too big and would have to check it for $40. I was clearly not happy.  Thankfully the concert was perfect!,Ticketing Issues
The entire concert experience was truly incredible. The environment was safe and welcoming and well organized. The show was just beyond incredible. This was the best concert experience I've had!,Incredible Performance
The entire concert experience was truly incredible. The environment was safe and welcoming and well organized. The show was just beyond incredible. This was the best concert experience I've had!,Best Concert Ever
The entire concert experience was truly incredible. The environment was safe and welcoming and well organized. The show was just beyond incredible. This was the best concert experience I've had!,Overall Organization
"fantastic show. 3.5 hours flew by. The Eras tour will be a cultural touchstone in the future, and I'll be glad to say I was there at the last show.",Incredible Performance
"fantastic show. 3.5 hours flew by. The Eras tour will be a cultural touchstone in the future, and I'll be glad to say I was there at the last show.",Memorable Night
"fantastic show. 3.5 hours flew by. The Eras tour will be a cultural touchstone in the future, and I'll be glad to say I was there at the last show.",Long Show Duration
"Taylor is an incredible performer putting on a high energy show for 3+hours with minimal breaks. Her production is on another level. The visuals, sound, and overall experience was phenomenal. This is one of the best live shows I’ve ever seen, and I hope on day I can experience her live again.",Incredible Performance
"Taylor is an incredible performer putting on a high energy show for 3+hours with minimal breaks. Her production is on another level. The visuals, sound, and overall experience was phenomenal. This is one of the best live shows I’ve ever seen, and I hope on day I can experience her live again.",Amazing Production
"Taylor is an incredible performer putting on a high energy show for 3+hours with minimal breaks. Her production is on another level. The visuals, sound, and overall experience was phenomenal. This is one of the best live shows I’ve ever seen, and I hope on day I can experience her live again.",Best Concert Ever
"Taylor is an incredible performer putting on a high energy show for 3+hours with minimal breaks. Her production is on another level. The visuals, sound, and overall experience was phenomenal. This is one of the best live shows I’ve ever seen, and I hope on day I can experience her live again.",Long Show Duration
"From the city of Vancouver to the concert itself everything was amazing! The crowds were controlled perfectly for seamless entry, extra SkyTrains were added for smoothness going home. Taylor is the best you will ever see!",Amazing Production
"From the city of Vancouver to the concert itself everything was amazing! The crowds were controlled perfectly for seamless entry, extra SkyTrains were added for smoothness going home. Taylor is the best you will ever see!",Overall Organization
"From the city of Vancouver to the concert itself everything was amazing! The crowds were controlled perfectly for seamless entry, extra SkyTrains were added for smoothness going home. Taylor is the best you will ever see!",Taylor Swift's Energy
"I’m so thankful to have been there at the final curtain call. I wish we had a special guest but it didn’t take away from the absolute magic.

Such a tease when Jan rose from below stage for Fortnight. We thought it was Post Malone for a heartbeat 🤣

The night had all the songs, dancing, merch lines and friendship bracelet trading you would have expected. 💕",Magical Experience
"I’m so thankful to have been there at the final curtain call. I wish we had a special guest but it didn’t take away from the absolute magic.

Such a tease when Jan rose from below stage for Fortnight. We thought it was Post Malone for a heartbeat 🤣

The night had all the songs, dancing, merch lines and friendship bracelet trading you would have expected. 💕",Fan Community
"Simply the greatest concert of all time! I don't know how she does it, she is a superhero! Taylor Swift the woman you are!",Best Concert Ever
"Simply the greatest concert of all time! I don't know how she does it, she is a superhero! Taylor Swift the woman you are!",Taylor Swift's Energy
"Amazing. Wonderful. There aren’t words to describe a Taylor Swift concert! Thank you to Taylor and her entire team, staff, everyone involved.",Incredible Performance
"Amazing. Wonderful. There aren’t words to describe a Taylor Swift concert! Thank you to Taylor and her entire team, staff, everyone involved.",Magical Experience
"Amazing. Wonderful. There aren’t words to describe a Taylor Swift concert! Thank you to Taylor and her entire team, staff, everyone involved.",Taylor Swift's Energy
"Taylor swift is absolutely amazing live! Everything went smoothly through ticket master. If you have a chance to see a Taylor Swift, take it!",Incredible Performance
"Taylor swift is absolutely amazing live! Everything went smoothly through ticket master. If you have a chance to see a Taylor Swift, take it!",Overall Organization
The error is to will forever go down in history as one of the most memorable events that have experienced with my daughter.  The amount of love and light and joy that the concert brought to us is indescribable.,Memorable Night
The error is to will forever go down in history as one of the most memorable events that have experienced with my daughter.  The amount of love and light and joy that the concert brought to us is indescribable.,Emotional Connection
"The phenomena that she is, Taylor Swift did not disappoint and nor she would have. The biggest surprise is the with the ease of booking tickets however long you had to wait in the waiting room. Once you get those tickets it’s a feeling you can’t describe. The ground staff handling the check-in to the Vancouver Police Department and all other volunteers thank you for making such a grand show look so easy. Crowd management was at it top notch, no words just gratitude.",Overall Organization
"The phenomena that she is, Taylor Swift did not disappoint and nor she would have. The biggest surprise is the with the ease of booking tickets however long you had to wait in the waiting room. Once you get those tickets it’s a feeling you can’t describe. The ground staff handling the check-in to the Vancouver Police Department and all other volunteers thank you for making such a grand show look so easy. Crowd management was at it top notch, no words just gratitude.",Ticketing Issues
"I attended the final show. Spent the whole weekend in Vancouver and it was an experience of a lifetime! I feel like I left that stadium having just attended the largest group therapy session ever. I can’t put it into words how magical it was. Thank you Taylor, I will forever defend you against the haters in this world!",Magical Experience
"I attended the final show. Spent the whole weekend in Vancouver and it was an experience of a lifetime! I feel like I left that stadium having just attended the largest group therapy session ever. I can’t put it into words how magical it was. Thank you Taylor, I will forever defend you against the haters in this world!",Emotional Connection
"I attended the final show. Spent the whole weekend in Vancouver and it was an experience of a lifetime! I feel like I left that stadium having just attended the largest group therapy session ever. I can’t put it into words how magical it was. Thank you Taylor, I will forever defend you against the haters in this world!",Fan Community
"We had seen Taylor at the beginning of the eras tour and wanted to see her again after she released TTPD.   That part was fantastic.  However, we learned that our show (the very last show of the tour)  was 20 minutes shorter than the night before and also didnt include a Gracie Abrams duet like the night before.  In fact, my daughter noticed she didnt speak to the crowd very much and she was right.  I understand Taylor was exhausted Im sure at the end of eras, as she should be, but it felt like she was already gone.  That being said, the Venue and Vancouver were amazing.  They put a Taylor lit sign and friendahip bracelet installation all over the city.  What a wonderful surprise!",Amazing Production
"We had seen Taylor at the beginning of the eras tour and wanted to see her again after she released TTPD.   That part was fantastic.  However, we learned that our show (the very last show of the tour)  was 20 minutes shorter than the night before and also didnt include a Gracie Abrams duet like the night before.  In fact, my daughter noticed she didnt speak to the crowd very much and she was right.  I understand Taylor was exhausted Im sure at the end of eras, as she should be, but it felt like she was already gone.  That being said, the Venue and Vancouver were amazing.  They put a Taylor lit sign and friendahip bracelet installation all over the city.  What a wonderful surprise!",Atmosphere and Vibe
"We had seen Taylor at the beginning of the eras tour and wanted to see her again after she released TTPD.   That part was fantastic.  However, we learned that our show (the very last show of the tour)  was 20 minutes shorter than the night before and also didnt include a Gracie Abrams duet like the night before.  In fact, my daughter noticed she didnt speak to the crowd very much and she was right.  I understand Taylor was exhausted Im sure at the end of eras, as she should be, but it felt like she was already gone.  That being said, the Venue and Vancouver were amazing.  They put a Taylor lit sign and friendahip bracelet installation all over the city.  What a wonderful surprise!",Ticketing Issues
Being there for closing night was so incredibly special 🫶🏼 I’ll remember that night forever,Memorable Night
The concert lived up to all the hype. It exceeded my expectations. Taylor is the ultimate performer. The whole experience was epic.,Incredible Performance
The concert lived up to all the hype. It exceeded my expectations. Taylor is the ultimate performer. The whole experience was epic.,Magical Experience
The concert lived up to all the hype. It exceeded my expectations. Taylor is the ultimate performer. The whole experience was epic.,Best Concert Ever
The concert lived up to all the hype. It exceeded my expectations. Taylor is the ultimate performer. The whole experience was epic.,Taylor Swift's Energy
I am in awe of her and the Eras Tour! Ultimate experience of a lifetime,Magical Experience
I am in awe of her and the Eras Tour! Ultimate experience of a lifetime,Memorable Night
"The past almost two years have been the great for a reason, OUR beloved eras tour. I have attended each of Taylor Swift’s tours through her career, but this one just superseded them all. Attending the tour closing night was an emotional experience, but as they say all good things must come to an end. Thank you to our queen for being a superhuman being and giving us everything since March of 2023. I dare anyone to, “Try and come for her job,” to paraphrase this genius. I love you Taylor Swift and I was lucky to experience this tour so many times. It was indeed the end of the ERAS, but the start of an age💜",Emotional Connection
